nohup: ignoring input
============================================================
AGIFORMER PHASE 8: Scaling & Emergence (100M)
============================================================

🚀 Initializing Scaled Model...
   Architecture: 12 layers × 768 dim
   Parameters: 129.3M
   Device: cuda

📚 Loading Turkish Wikipedia Data...

⚙️  Training Configuration:
   Batch Size: 2 (effective: 8)
   Max Steps: 50,000
   Target Duration: ~5-7 days on T4

▶️  Starting Training...

Step   820/50000: Loss=2.5293 | BPC=3.6490 | LR=2.00e-04 | ETA=11.2h
Step   830/50000: Loss=2.3801 | BPC=3.4338 | LR=2.00e-04 | ETA=11.2h
Step   840/50000: Loss=2.3944 | BPC=3.4544 | LR=2.00e-04 | ETA=11.1h
Step   850/50000: Loss=1.8903 | BPC=2.7271 | LR=2.00e-04 | ETA=11.1h
Step   860/50000: Loss=2.0541 | BPC=2.9634 | LR=2.00e-04 | ETA=11.1h
Step   870/50000: Loss=2.0540 | BPC=2.9633 | LR=2.00e-04 | ETA=11.1h
Step   880/50000: Loss=1.9685 | BPC=2.8400 | LR=2.00e-04 | ETA=11.1h
Step   890/50000: Loss=2.3441 | BPC=3.3818 | LR=2.00e-04 | ETA=11.1h
Step   900/50000: Loss=2.1730 | BPC=3.1349 | LR=2.00e-04 | ETA=11.1h
Step   910/50000: Loss=1.9927 | BPC=2.8748 | LR=2.00e-04 | ETA=11.1h
Step   920/50000: Loss=2.2189 | BPC=3.2011 | LR=2.00e-04 | ETA=11.1h
Step   930/50000: Loss=2.0957 | BPC=3.0234 | LR=2.00e-04 | ETA=11.1h
Step   940/50000: Loss=1.9924 | BPC=2.8744 | LR=2.00e-04 | ETA=11.1h
Step   950/50000: Loss=2.0043 | BPC=2.8917 | LR=2.00e-04 | ETA=11.1h
Step   960/50000: Loss=1.9097 | BPC=2.7551 | LR=2.00e-04 | ETA=11.1h
Step   970/50000: Loss=2.0945 | BPC=3.0217 | LR=2.00e-04 | ETA=11.1h
Step   980/50000: Loss=2.1934 | BPC=3.1644 | LR=2.00e-04 | ETA=11.1h
Step   990/50000: Loss=1.9635 | BPC=2.8327 | LR=2.00e-04 | ETA=11.1h
Step  1000/50000: Loss=2.0813 | BPC=3.0026 | LR=2.00e-04 | ETA=11.1h
Step  1010/50000: Loss=2.0325 | BPC=2.9323 | LR=2.00e-04 | ETA=11.1h
Step  1020/50000: Loss=2.0187 | BPC=2.9123 | LR=2.00e-04 | ETA=11.1h
Step  1030/50000: Loss=1.9291 | BPC=2.7831 | LR=2.00e-04 | ETA=11.1h
Step  1040/50000: Loss=1.8700 | BPC=2.6978 | LR=2.00e-04 | ETA=11.1h
Step  1050/50000: Loss=1.7434 | BPC=2.5152 | LR=2.00e-04 | ETA=11.0h
Step  1060/50000: Loss=1.9323 | BPC=2.7877 | LR=2.00e-04 | ETA=11.0h
Step  1070/50000: Loss=1.9647 | BPC=2.8345 | LR=2.00e-04 | ETA=11.0h
Step  1080/50000: Loss=1.8978 | BPC=2.7379 | LR=2.00e-04 | ETA=11.0h
Step  1090/50000: Loss=1.9599 | BPC=2.8275 | LR=2.00e-04 | ETA=11.0h
Step  1100/50000: Loss=2.1734 | BPC=3.1355 | LR=2.00e-04 | ETA=11.0h
Step  1110/50000: Loss=1.9176 | BPC=2.7666 | LR=2.00e-04 | ETA=11.0h
Step  1120/50000: Loss=1.8585 | BPC=2.6813 | LR=2.00e-04 | ETA=11.0h
Step  1130/50000: Loss=1.8511 | BPC=2.6706 | LR=2.00e-04 | ETA=11.0h
Step  1140/50000: Loss=2.0165 | BPC=2.9091 | LR=2.00e-04 | ETA=11.0h
Step  1150/50000: Loss=1.9645 | BPC=2.8342 | LR=2.00e-04 | ETA=11.0h
Step  1160/50000: Loss=1.9444 | BPC=2.8052 | LR=2.00e-04 | ETA=11.0h
